我的推荐,#genre#
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?


咪咕央卫,#genre#

CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-17,http://goo.bkpcp.top/mg/cctv17
广东卫视,http://goo.bkpcp.top/mg/gdws
浙江卫视,http://goo.bkpcp.top/mg/zjws
河南卫视,http://goo.bkpcp.top/mg/hnws
吉林卫视,http://goo.bkpcp.top/mg/jlws
北京卫视,http://goo.bkpcp.top/mg/bjws
东方卫视,http://goo.bkpcp.top/mg/dfws
天津卫视,http://goo.bkpcp.top/mg/tjws
重庆卫视,http://goo.bkpcp.top/mg/cqws
黑龙江卫视,http://goo.bkpcp.top/mg/hljws
辽宁卫视,http://goo.bkpcp.top/mg/lnws
甘肃卫视,http://goo.bkpcp.top/mg/gsws
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
河北卫视,http://goo.bkpcp.top/mg/hbws
山东卫视,http://goo.bkpcp.top/mg/sdws
安徽卫视,http://goo.bkpcp.top/mg/ahws
湖北卫视,http://goo.bkpcp.top/mg/hbws
湖南卫视,http://goo.bkpcp.top/mg/hnws
江西卫视,http://goo.bkpcp.top/mg/jxws
江苏卫视,http://goo.bkpcp.top/mg/jsws
东南卫视,http://goo.bkpcp.top/mg/dnws

深圳卫视,http://goo.bkpcp.top/mg/szws
广西卫视,http://goo.bkpcp.top/mg/gxws
贵州卫视,http://goo.bkpcp.top/mg/gzws
四川卫视,http://goo.bkpcp.top/mg/scws
新疆卫视,http://goo.bkpcp.top/mg/xjws
兵团卫视,http://goo.bkpcp.top/mg/btws
海南卫视,http://goo.bkpcp.top/mg/hnws

港澳php频道,#genre#
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
凤凰中文,http://ali.hlspull.yximgs.com/live/qwt_fhzw.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/qwt_fhzx.flv
凤凰香港,http://ali.hlspull.yximgs.com/live/qwt_fhhk.flv
翡翠台,http://ali.hlspull.yximgs.com/live/qwt_feicui.flv

4K测试,#genre#
河南卫视4K,http://ik.iptv8.net:8888/rtp/225.1.4.254:1300
CCTV4K,webview://https://yangshipin.cn/tv/home?pid=600002264
CCTV8K,webview://https://www.yangshipin.cn/tv/home?pid=600156816
北京卫视4K,http://124.222.114.206/bjtv.php?id=bjws4k
北京IPTV4K,http://b.zgjok.com:35455/bptv/10000100000000050000000003887500.m3u8
4K超高清,webview://https://gdtv.cn/tvChannelDetail/16
4K都市频道,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4


港澳台,#genre#

凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/xsj.php?id=phtv-hk 
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://php.jdshipin.com:8880/xsj.php?id=phtv-info 
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzx
