
湾湾频道,#genre#

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv

香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv

大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8

番薯电视,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8

凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.flv

凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.flv

凤凰香港,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.flv

有线新闻,http://live4play.uk/livehttpplay?channel_id=20191

Now新闻,http://live4play.uk/livehttpplay?channel_id=20041

美亚电影,http://live4play.uk/livehttpplay?channel_id=20197

天映电影,http://live4play.uk/livehttpplay?channel_id=10130

天映经典,http://live4play.uk/livehttpplay?channel_id=20063

东森新闻,http://live4play.uk/livehttpplay?channel_id=20082

三立新闻,http://live4play.uk/livehttpplay?channel_id=10126

年代新闻,http://live4play.uk/livehttpplay?channel_id=20033

非凡新闻,http://live4play.uk/livehttpplay?channel_id=20034

闽壹新闻,http://live4play.uk/livehttpplay?channel_id=20028

民视新闻,http://live4play.uk/livehttpplay?channel_id=20097

今日新闻,http://live4play.uk/livehttpplay?channel_id=20043

公视闽南,http://live4play.uk/livehttpplay?channel_id=20087

民视闽南,http://live4play.uk/livehttpplay?channel_id=20074

中视闽南,http://live4play.uk/livehttpplay?channel_id=20088

华视闽南,http://live4play.uk/livehttpplay?channel_id=20086

台视闽南,http://live4play.uk/livehttpplay?channel_id=20076

tvbs闽南,http://live4play.uk/livehttpplay?channel_id=20085

tvbs欢乐,http://live4play.uk/livehttpplay?channel_id=20105

tvbs精彩,http://live4play.uk/livehttpplay?channel_id=20136

三立戏剧,http://live4play.uk/livehttpplay?channel_id=10125

三立综合,http://live4play.uk/livehttpplay?channel_id=12038

三立都会,http://live4play.uk/livehttpplay?channel_id=20100

中天娱乐,http://live4play.uk/livehttpplay?channel_id=20079

中天综合,http://live4play.uk/livehttpplay?channel_id=20064

采昌综合,http://live4play.uk/livehttpplay?channel_id=20141

八大综合,http://live4play.uk/livehttpplay?channel_id=20068

八大精彩,http://live4play.uk/livehttpplay?channel_id=20052

八大第一,http://live4play.uk/livehttpplay?channel_id=20073

八大娱乐,http://live4play.uk/livehttpplay?channel_id=20071

东森戏剧,http://live4play.uk/livehttpplay?channel_id=20072

东森综合,http://live4play.uk/livehttpplay?channel_id=20104

东森财经,http://live4play.uk/livehttpplay?channel_id=20078

东森电影,http://live4play.uk/livehttpplay?channel_id=20077

东森洋片,http://live4play.uk/livehttpplay?channel_id=20080

龙华洋片,http://live4play.uk/livehttpplay?channel_id=20090

龙华偶像,http://live4play.uk/livehttpplay?channel_id=20023

龙华电影,http://live4play.uk/livehttpplay?channel_id=10129

龙祥时代,http://live4play.uk/livehttpplay?channel_id=20114

纬来电影,http://live4play.uk/livehttpplay?channel_id=20199

纬来戏剧,http://live4play.uk/livehttpplay?channel_id=20200

纬来综合,http://live4play.uk/livehttpplay?channel_id=20201

纬来育乐,http://live4play.uk/livehttpplay?channel_id=20202

纬来日本,http://live4play.uk/livehttpplay?channel_id=20303

纬来体育,http://live4play.uk/livehttpplay?channel_id=20120

靖天电影,http://live4play.uk/livehttpplay?channel_id=12037

大爱综合,http://live4play.uk/livehttpplay?channel_id=20032

国兴卫视,http://live4play.uk/livehttpplay?channel_id=20164

闽壹电影,http://live4play.uk/livehttpplay?channel_id=20108

好莱坞电影,http://live4play.uk/livehttpplay?channel_id=20062

Fgm电影,http://live4play.uk/livehttpplay?channel_id=10123

Amc电影,http://live4play.uk/livehttpplay?channel_id=12036

Cinem电影,http://live4play.uk/livehttpplay?channel_id=20047

HBo电影壹,http://live4play.uk/livehttpplay?channel_id=20091

HBo电影贰,http://live4play.uk/livehttpplay?channel_id=20092

HBo电影叁,http://live4play.uk/livehttpplay?channel_id=20093

Discover,http://live4play.uk/livehttpplay?channel_id=20110

cn卡通频道,http://live4play.uk/livehttpplay?channel_id=20048

尼克卡通,http://live4play.uk/livehttpplay?channel_id=20089

BBC地球,http://live4play.uk/livehttpplay?channel_id=20044

国家地理,http://live4play.uk/livehttpplay?channel_id=20037

动物星球,http://live4play.uk/livehttpplay?channel_id=20106

asia动物,http://live4play.uk/livehttpplay?channel_id=20113

asia-afn,http://live4play.uk/livehttpplay?channel_id=20115

ElaT体育壹,http://live4play.uk/livehttpplay?channel_id=20129

博斯运动壹,http://live4play.uk/livehttpplay?channel_id=10131

博斯运动贰,http://live4play.uk/livehttpplay?channel_id=20311

博斯高球壹,http://live4play.uk/livehttpplay?channel_id=20103

博斯高球贰,http://live4play.uk/livehttpplay?channel_id=20117



港澳台备,#genre#
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/xsj.php?id=phtv-hk
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://php.jdshipin.com:8880/xsj.php?id=phtv-info
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://php.jdshipin.com:8880/xsj.php?id=phtv-cn
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
翡翠台北美版(TVB J1),https://cdn5.1678520.xyz/live/live2.1.php?id=j1
翡翠台北美版(TVB J1),http://php.jdshipin.com:8880/TVOD/iptv.php?id=j1
翡翠台4K,https://cdn.163189.xyz/live/fct4k/stream.m3u8
翡翠台4K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
翡翠台2K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台2K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台1K,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳门Mac,http://cdn.132.us.kg/live/as/stream.m3u8.
澳视澳门,https://cdn.163189.xyz/live/asam/stream.m3u8
澳视澳门,http://php.jdshipin.com:8880/TVOD/iptv.php?id=asam
澳视澳门,http://cdn.132.us.kg/live/asam/stream.m3u8
澳视卫星,http://php.jdshipin.com:8880/TVOD/iptv.php?id=as
澳视卫星,http://cdn.163189.xyz/live/as/stream.m3u8
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新聞台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线华丽,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
探索频道,http://61.221.215.25:8800/hls/1/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
天映频道,http://php.jdshipin.com:8880/xsj.php?id=celestial
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
华丽翡翠台|备用,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali2
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Wlt
华丽翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
华丽翡翠,http://cdn9.163189.xyz/smt1.1.php?id=Wlt
千禧经典台,http://php.jdshipin.com:8880/xsj.php?id=tvb-classic
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
千禧经典,http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
千禧经典,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
动物星球1,http://61.221.215.25:8800/hls/57/index.m3u8
功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
八度空间,http://php.jdshipin.com/smt.php?id=TV8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
VIUTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
VIU TV,http://cdn5.1678520.xyz/live/?id=viu
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
TVB粤语片台,http://php.jdshipin.com:8880/xsj.php?id=tvb-yueyu
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
