央卫频道,#genre#
CCTV-1,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV-2,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv2hd4m/4000000/mnf.m3u8
CCTV-3,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV-4,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv4hd4m/4000000/mnf.m3u8
CCTV-5,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV-5+,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv5phd/4000000/mnf.m3u8
CCTV-6,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv6hd/4000000/mnf.m3u8
CCTV-7,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv7hd4m/4000000/mnf.m3u8
CCTV-8,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV-9,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv9hd4m/4000000/mnf.m3u8
CCTV-10,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV-11,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv11hd4m/4000000/mnf.m3u8
CCTV-12,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv12hd4m/4000000/mnf.m3u8
CCTV-13,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv13hd4m/4000000/mnf.m3u8
CCTV-14,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctvsehd/4000000/mnf.m3u8
CCTV-16,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv16hd4m/4000000/mnf.m3u8
CCTV-17,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/cctv17hd4m/4000000/mnf.m3u8
北京卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/bjwshd/4000000/mnf.m3u8
天津卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/tjwshd/4000000/mnf.m3u8
辽宁卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/lnwshd/4000000/mnf.m3u8
湖北卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/hbwshd/4000000/mnf.m3u8
湖南卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/hnwshd/4000000/mnf.m3u8
浙江卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/zjwshd/4000000/mnf.m3u8
江苏卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/jswshd/4000000/mnf.m3u8
江西卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/jxwshd/4000000/mnf.m3u8
黑龙江卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/hljwshd/4000000/mnf.m3u8
东南卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/dnwshd/4000000/mnf.m3u8
东方卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/hddfws/4000000/mnf.m3u8
安徽卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/ahwshd/4000000/mnf.m3u8
山东卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/sdwshd/4000000/mnf.m3u8
广东卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/gdwshd/4000000/mnf.m3u8
深圳卫视,http://dxjyrz-live.bestvcdn.com.cn/live/program/live/szwshd/4000000/mnf.m3u8

暮雨｜闽粤,#genre#

Plus即时频道,https://vdm6-ali.wujiekeji1.com/live/h6-2.flv
Plus即时频道,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
广东珠江频道,http://14.112.86.85:4022/udp/239.77.0.1:5146
广东新闻频道,http://14.112.86.85:4022/udp/239.77.0.173:5146
广东民生频道,http://14.112.86.85:4022/udp/239.77.0.225:5146
广东体育频道,http://14.112.86.85:4022/udp/239.77.0.112:5146
广东体育频道,http://14.112.86.85:4022/udp/239.77.0.168:5146
广东影视频道,http://14.112.86.85:4022/udp/239.77.0.217:5146
广东珠江频道,http://125.90.252.38:4022/udp/239.77.0.1:5146
广东新闻频道,http://125.90.252.38:4022/udp/239.77.0.173:5146
广东民生频道,http://125.90.252.38:4022/udp/239.77.0.225:5146
广东体育频道,http://125.90.252.38:4022/udp/239.77.0.112:5146
广东影视频道,http://125.90.252.38:4022/udp/239.77.0.217:5146
广州综合频道,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广州新闻频道,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州竞赛频道,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8
广州影视频道,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8
广州法治频道,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8
广州南国频道,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
凤凰卫视频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港频备,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
香港卫视频道,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
无线新闻频道,http://php.jdshipin.com/smt.php?id=inews_twn
无线翡翠频道,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽频道,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
无线华丽频道,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线华丽频粤,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
无线直播频道,http://v2h.jdshipin.com/liveshow/liveshow.stream/chunklist_w10.m3u8
无线功夫频道,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
无线生活频道,https://tv.mytvsuper.xyz/tvb/shenghuo/stream.m3u8
无线生活频道,http://205.185.123.236:8899/tvb/shenghuo/stream.m3u8
无线生活频道,http://v2h.jdshipin.com/finance2/finance2.stream/chunklist.m3u8
无线星河频粤,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
无线星河频国,https://tv.mytvsuper.xyz/tvb/xinghe/xinghe.m3u8
无线星河频国,http://205.185.123.236:8899/tvb/xinghe/xinghe.m3u8
无线星河频道,http://php.jdshipin.com/smt.php?id=Xinhe
无线星河频道,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
无线星河频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
千禧经典频道,https://tv.mytvsuper.xyz/astro/qianxi/qianxi.m3u8
千禧经典频道,http://205.185.123.236:8899/astro/qianxi/qianxi.m3u8
千禧经典频道,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
千禧经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
Now爆谷频道,http://205.185.123.236:8899/1/baogutai/baogu.m3u8
Now星影频道,http://205.185.123.236:8899/1/xingyingtai/xingying.m3u8
